asr,diar,oracle,clip_id,cp_errors,cp_len,di_errors,di_len,wer_errors,wer_len,wder_errors,wder_len,ref_words,hyp_words,ref_spk,hyp_spk
indicconformer,pyannote31+llm,False,EmsKkNN2Me4__000035000_000095000,157,179,157,179,156,179,13,53,179,53,2,2
indicconformer,pyannote31+llm,False,ExGJodnzocM__000212000_000527000,1161,1161,1161,1161,1161,1161,197,270,1161,270,4,4
indicconformer,pyannote31+llm,False,F2uXav-wriA__000000000_000907000,2765,2765,2765,2765,2765,2765,1465,1643,2765,1643,4,4
indicconformer,pyannote31+llm,False,FDMf9ApmoNU__000016000_000686000,1446,1670,1446,1670,1446,1670,27,354,1670,359,4,3
indicconformer,pyannote31+llm,False,G6qzg93FxwE__000021000_000116000,163,267,163,267,163,267,1,130,267,132,2,2
indicconformer,pyannote31+llm,False,GEc_sS2KWo8__000096000_000290000,460,518,460,518,433,518,30,162,518,162,4,2
indicconformer,pyannote31+llm,False,GfFLEIAAumk__000090000_000163000,192,216,192,216,191,216,4,53,216,53,2,2
indicconformer,pyannote31+llm,False,Gq45evw6ytY__000597000_001464000,2442,2740,2442,2740,2437,2740,64,525,2740,527,3,3
indicconformer,pyannote31+llm,False,HZv_WvIr6lE__000021000_000105000,243,260,243,260,240,260,19,48,260,48,3,2
indicconformer,pyannote31+llm,False,HpYG46tGyYs__000103000_000998000,500,2552,500,2552,492,2552,9,2389,2552,2492,4,4
indicconformer,pyannote31+llm,False,IAm1rt-MYcA__000004000_000558000,1317,1688,1317,1688,1318,1688,24,564,1688,571,4,4
indicconformer,pyannote31+llm,False,Iare1Emeueg__000016000_000069000,139,139,139,139,139,139,9,15,139,15,2,2
indicconformer,pyannote31+llm,False,IfTL8SSN270__000062000_000671000,2214,2214,2214,2214,2214,2214,732,1060,2214,1060,4,4
indicconformer,pyannote31+llm,False,Ig6szCD8m20__000046000_000106000,155,193,155,193,97,193,59,141,193,149,2,2
indicconformer,pyannote31+llm,False,Iqhnt8ENm3U__000027000_000088000,153,177,153,177,154,177,16,49,177,49,3,3
indicconformer,pyannote31+llm,False,J4-VpEkBzWw__000000000_000600000,944,1552,944,1552,944,1552,39,967,1552,980,7,7
indicconformer,pyannote31+llm,False,JBYGLQJwFDc__000103000_000407000,628,680,628,680,624,680,15,119,680,122,3,2
indicconformer,pyannote31+llm,False,JSB1CeS4pP8__000000000_000632000,1502,2088,1502,2088,1473,2088,95,807,2088,817,4,4
indicconformer,pyannote31+llm,False,Jc5AVwg2cZM__000153000_000214000,156,172,156,172,154,172,10,51,172,51,3,2
indicconformer,pyannote31+llm,False,KAtdcDieQMw__000057000_000599000,1258,1742,1258,1742,1245,1742,70,930,1742,938,3,3
indicconformer,pyannote31+llm,False,KPkRi3GM7fs__000047000_000642000,868,1773,868,1773,790,1773,63,1477,1773,1501,3,3
indicconformer,pyannote31+llm,False,Kdi-ECuOaKg__000002000_000078000,62,91,61,91,54,91,6,62,91,63,6,4
