clip_id,system,hyp_missing,der,miss,false_alarm,confusion,jer,ref_speech_sec,err_miss_sec,err_fa_sec,err_conf_sec,n_ref_speakers,n_hyp_speakers,spk_count_correct,spk_count_err,duration,overlap_frac_of_speech,language
9Aw8kg8w5Xo__000000000_000083000,ic_lid_fallback__sortformer_stream,False,0.26343429408891056,0.02650219833903282,0.022594040058622235,0.2143380556912555,0.6577125829002908,81.88000000000002,2.170000000000008,1.8499999999999892,17.550000000000004,4,3,0,-1,83.0,0.0216,Telugu
9_GMxc_JjyI__000236000_000368000,ic_lid_fallback__sortformer_stream,False,0.19837410176380912,0.06786673441242642,0.041010379618204036,0.08949698773317867,0.4477757797766622,137.77,9.349999999999989,5.64999999999997,12.330000000000027,2,2,1,0,132.0,0.0602,Kannada
ARCKJrGkITw__000014000_000496000,ic_lid_fallback__sortformer_stream,False,0.47759485175095745,0.09518733467566845,0.050455999052469724,0.3319515180228193,0.5750682550339914,506.5799999999995,48.22000000000007,25.560000000000088,168.15999999999963,3,3,1,0,482.0,0.0844,Telugu
ARZl7LT0UC0__000073000_000130000,ic_lid_fallback__sortformer_stream,False,0.25890968266883696,0.06981285598047196,0.05988608624898318,0.12921074043938183,0.3835588117909081,61.44999999999999,4.290000000000001,3.6800000000000157,7.940000000000012,3,3,1,0,57.0,0.0905,Telugu
A_dohDOK6Ic__000000000_000600000,ic_lid_fallback__sortformer_stream,False,0.36678081007228985,0.019681090242467846,0.01942167341150369,0.3276780464183183,0.5074922310812003,578.2200000000001,11.379999999999761,11.229999999999666,189.47000000000006,3,3,1,0,600.0,0.0048,Devanagari (hi/mr)
B2ScTgeIIck__000117000_000180000,ic_lid_fallback__sortformer_stream,False,0.3110177123986791,0.08210747523266286,0.08661062743920762,0.1422996097268086,0.3492350242010891,66.62,5.47,5.770000000000012,9.47999999999999,2,2,1,0,63.0,0.0879,Odia
BGAAfht5dYw__000000000_000612000,ic_lid_fallback__sortformer_stream,False,0.4154313164952399,0.07942589372550167,0.044664171406678534,0.29134125136305966,0.6175233344282961,678.6199999999995,53.899999999999906,30.310000000000166,197.7099999999994,4,4,1,0,612.0,0.135,Gujarati
BYLcUGNB_zM__000020000_001387000,ic_lid_fallback__sortformer_stream,False,0.14947303580952725,0.027719142734805614,0.01473095905229113,0.10702293402243049,0.22157592873378634,1331.2099999999991,36.90000000000056,19.61000000000046,142.4699999999996,4,4,1,0,1367.0,0.0054,Kannada
Bngfppo1QtA__000028000_000927000,ic_lid_fallback__sortformer_stream,False,0.6322853410711249,0.13208092773739413,0.14968041720262787,0.35052399613110286,0.6792318758652959,1002.8699999999983,132.46000000000024,150.10999999999916,351.52999999999855,5,4,0,-1,899.0,0.1261,Telugu
CO_8ppdzq9U__000000000_000695000,ic_lid_fallback__sortformer_stream,False,0.6250114970720791,0.02103197718980921,0.03743446668915031,0.5665450531931195,0.7986722244645711,652.3399999999991,13.720000000000121,24.420000000000282,369.57999999999913,4,4,1,0,695.0,0.0186,Tamil
